,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,leurs,their
41,train,train
42,corps,body
43,endroit,place
44,yeux,eyes
45,façon,way
46,écoute,listen
47,dont,whose
48,trouve,find
49,premier,first
50,perdu,lost
51,main,hand
52,première,first
53,côté,side
54,pouvoir,power
55,vieux,old
56,sois,be
57,tiens,here
58,matin,morning
59,tellement,so much
60,enfant,child
61,point,point
62,venu,came
63,suite,after
64,pardon,sorry
65,venez,come
66,devant,in front of
67,vers,towards
68,minutes,minutes
69,chambre,bedroom
70,mis,placed
71,belle,beautiful
72,droit,law
73,aujourd'hui,today
74,mari,husband
75,cause,cause
76,enfin,finally
77,espère,hope
78,eau,water
79,attendez,Wait
80,parti,left
81,nouvelle,new
82,boulot,job
83,arrêter,Stop
84,compte,account
85,loin,far
86,fin,end
87,croire,believe
88,chérie,sweetheart
89,gros,large
90,plutôt,rather
91,aura,will have
92,filles,girls
93,jouer,to play
94,bureau,office
